frame_nmr,car_id,vehicle_type,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
2023-11-22 19:56:38.971951,-1,-1,[-1 -1 -1 -1],[285.1871643066406 314.5716552734375 427.1005859375 429.518310546875],0.5743076801300049,4GJ-245-A,0.602345207242682
2023-11-22 19:56:39.583423,-1,-1,[-1 -1 -1 -1],[285.1992492675781 314.5542297363281 427.0745849609375 429.5093078613281],0.5741727948188782,4GJ-245-A,0.5442218288325178
2023-11-22 19:56:40.158228,450.0,car,[126.20303834318884 2.547574712665323 835.6667952182147 711.1370647815845],[285.1999816894531 314.5550537109375 427.08538818359375 429.5083312988281],0.5742278695106506,4GJ-245-A,0.5442218288325178
2023-11-22 19:56:43.368468,-1,-1,[-1 -1 -1 -1],[333.0210266113281 513.8734741210938 529.1672973632812 665.2440185546875],0.5414056181907654,NXZ-51-16,0.3074676081564189
2023-11-22 19:56:43.857087,450.0,car,[139.46541647642425 24.33115057290098 828.6252976438495 671.9261376090658],[333.0426330566406 513.9000854492188 529.1722412109375 665.2435913085938],0.5415046215057373,NXZ-51-16,0.35798569474281666
2023-11-22 19:56:44.392773,450.0,car,[131.76861349338918 21.31095083493659 830.9735574582801 689.4519543944798],[333.04541015625 513.8991088867188 529.1724243164062 665.244140625],0.5415118932723999,NXZ-51-16,0.35798569474281666
2023-11-22 19:56:46.820136,450.0,car,[121.9983462960459 -3.272766348038374 695.871923828689 581.290092003901],[401.728271484375 280.16448974609375 501.48358154296875 345.5088806152344],0.5969944000244141,PEC-71-76,0.9356165280356064
2023-11-22 19:56:47.380810,450.0,car,[138.92972589653567 -4.403473380318189 688.9362985159546 538.3754066964204],[401.7230529785156 280.1687316894531 501.4814758300781 345.51568603515625],0.5974873900413513,PEC-71-76,0.9222832762701251
2023-11-22 19:56:47.950241,450.0,car,[150.3158560396758 2.449242866819759 681.7288933507891 515.2062541689652],[401.7230529785156 280.1690368652344 501.4803771972656 345.5155334472656],0.5974509119987488,PEC-71-76,0.9222832762701251
2023-11-22 19:56:50.145192,454.0,car,[203.29045574935282 16.302770036567324 698.0952928240727 424.3127077540357],[434.0715637207031 187.05418395996094 527.272216796875 249.89694213867188],0.5571932196617126,HBH-382-A,0.5930422297175664
2023-11-22 19:56:50.767154,454.0,car,[231.04844602541974 19.299583833746112 696.462075651055 416.2846038020954],[434.07330322265625 187.05181884765625 527.2695922851562 249.8941650390625],0.5570573210716248,HBH-382-A,0.5930422297175664
2023-11-22 19:56:51.425495,454.0,car,[241.37007980683094 20.591904893271902 691.8460881250728 413.8939178327065],[434.0728454589844 187.05197143554688 527.2734985351562 249.89625549316406],0.5571904182434082,HBH-382-A,0.5930422297175664
2023-11-22 19:56:52.037334,454.0,car,[245.34753382283714 20.847475952965425 687.8590566542983 413.64831064728],[434.0724792480469 187.05184936523438 527.273681640625 249.89666748046875],0.5571962594985962,HBH-382-A,0.5930422297175664
2023-11-22 19:56:53.540898,454.0,car,[143.55464682064485 57.75925241384448 736.0858168538072 640.4346307048439],[351.9159851074219 469.0704345703125 539.025390625 596.6918334960938],0.33620119094848633,PEC-11-68,0.8273138180107203
